,drug_name,dates
0,Abilify,"October 2, 2019"
1,Abilify,"September 26, 2019"
2,Abilify,"September 24, 2019"
3,Abilify,"September 23, 2019"
4,Abilify,"September 16, 2019"
5,Abilify,"September 10, 2019"
6,Abilify,"September 8, 2019"
7,Abilify,"September 7, 2019"
8,Abilify,"September 4, 2019"
9,Abilify,"September 2, 2019"
10,Abilify,"September 1, 2019"
11,Abilify,"August 28, 2019"
12,Abilify,"August 18, 2019"
13,Abilify,"August 17, 2019"
14,Abilify,"August 12, 2019"
15,Abilify,"August 7, 2019"
16,Abilify,"August 5, 2019"
17,Abilify,"July 30, 2019"
18,Abilify,"July 30, 2019"
19,Abilify,"July 30, 2019"
20,Abilify,"July 28, 2019"
21,Abilify,"July 28, 2019"
22,Abilify,"July 28, 2019"
23,Abilify,"July 19, 2019"
24,Abilify,"July 15, 2019"
25,Abilify (Page 2),"July 13, 2019"
26,Abilify (Page 2),"July 13, 2019"
27,Abilify (Page 2),"July 12, 2019"
28,Abilify (Page 2),"July 11, 2019"
29,Abilify (Page 2),"July 9, 2019"
30,Abilify (Page 2),"July 5, 2019"
31,Abilify (Page 2),"July 5, 2019"
32,Abilify (Page 2),"July 1, 2019"
33,Abilify (Page 2),"June 28, 2019"
34,Abilify (Page 2),"June 27, 2019"
35,Abilify (Page 2),"June 25, 2019"
36,Abilify (Page 2),"June 25, 2019"
37,Abilify (Page 2),"June 24, 2019"
38,Abilify (Page 2),"June 23, 2019"
39,Abilify (Page 2),"June 22, 2019"
40,Abilify (Page 2),"June 19, 2019"
41,Abilify (Page 2),"June 18, 2019"
42,Abilify (Page 2),"June 17, 2019"
43,Abilify (Page 2),"June 12, 2019"
44,Abilify (Page 2),"June 10, 2019"
45,Abilify (Page 2),"June 9, 2019"
46,Abilify (Page 2),"June 5, 2019"
47,Abilify (Page 2),"June 3, 2019"
48,Abilify (Page 2),"May 23, 2019"
49,Abilify (Page 2),"May 21, 2019"
50,Abilify (Page 3),"May 15, 2019"
51,Abilify (Page 3),"May 14, 2019"
52,Abilify (Page 3),"May 12, 2019"
53,Abilify (Page 3),"May 12, 2019"
54,Abilify (Page 3),"May 9, 2019"
55,Abilify (Page 3),"May 6, 2019"
56,Abilify (Page 3),"April 22, 2019"
57,Abilify (Page 3),"April 22, 2019"
58,Abilify (Page 3),"April 19, 2019"
59,Abilify (Page 3),"April 15, 2019"
60,Abilify (Page 3),"April 9, 2019"
61,Abilify (Page 3),"April 8, 2019"
62,Abilify (Page 3),"March 25, 2019"
63,Abilify (Page 3),"March 24, 2019"
64,Abilify (Page 3),"March 23, 2019"
65,Abilify (Page 3),"March 22, 2019"
66,Abilify (Page 3),"March 20, 2019"
67,Abilify (Page 3),"March 11, 2019"
68,Abilify (Page 3),"March 10, 2019"
69,Abilify (Page 3),"March 9, 2019"
70,Abilify (Page 3),"March 1, 2019"
71,Abilify (Page 3),"February 26, 2019"
72,Abilify (Page 3),"February 5, 2019"
73,Abilify (Page 3),"January 22, 2019"
74,Abilify (Page 3),"January 17, 2019"
75,Abilify (Page 4),"January 16, 2019"
76,Abilify (Page 4),"January 13, 2019"
77,Abilify (Page 4),"January 2, 2019"
78,Abilify (Page 4),"December 19, 2018"
79,Abilify (Page 4),"December 11, 2018"
80,Abilify (Page 4),"December 10, 2018"
81,Abilify (Page 4),"December 7, 2018"
82,Abilify (Page 4),"November 30, 2018"
83,Abilify (Page 4),"November 26, 2018"
84,Abilify (Page 4),"November 13, 2018"
85,Abilify (Page 4),"November 8, 2018"
86,Abilify (Page 4),"November 3, 2018"
87,Abilify (Page 4),"October 28, 2018"
88,Abilify (Page 4),"October 25, 2018"
89,Abilify (Page 4),"October 24, 2018"
90,Abilify (Page 4),"October 24, 2018"
91,Abilify (Page 4),"October 21, 2018"
92,Abilify (Page 4),"October 3, 2018"
93,Abilify (Page 4),"October 3, 2018"
94,Abilify (Page 4),"October 3, 2018"
95,Abilify (Page 4),"October 2, 2018"
96,Abilify (Page 4),"September 29, 2018"
97,Abilify (Page 4),"September 29, 2018"
98,Abilify (Page 4),"September 23, 2018"
99,Abilify (Page 4),"September 16, 2018"
100,Abilify (Page 5),"September 10, 2018"
101,Abilify (Page 5),"September 10, 2018"
102,Abilify (Page 5),"September 9, 2018"
103,Abilify (Page 5),"August 29, 2018"
104,Abilify (Page 5),"August 13, 2018"
105,Abilify (Page 5),"August 4, 2018"
106,Abilify (Page 5),"August 4, 2018"
107,Abilify (Page 5),"July 28, 2018"
108,Abilify (Page 5),"July 24, 2018"
109,Abilify (Page 5),"July 24, 2018"
110,Abilify (Page 5),"July 13, 2018"
111,Abilify (Page 5),"July 13, 2018"
112,Abilify (Page 5),"July 11, 2018"
113,Abilify (Page 5),"July 9, 2018"
114,Abilify (Page 5),"July 1, 2018"
115,Abilify (Page 5),"June 26, 2018"
116,Abilify (Page 5),"June 24, 2018"
117,Abilify (Page 5),"June 12, 2018"
118,Abilify (Page 5),"June 10, 2018"
119,Abilify (Page 5),"June 6, 2018"
120,Abilify (Page 5),"June 5, 2018"
121,Abilify (Page 5),"June 5, 2018"
122,Abilify (Page 5),"May 24, 2018"
123,Abilify (Page 5),"May 18, 2018"
124,Abilify (Page 5),"May 17, 2018"
125,Abilify (Page 6),"May 13, 2018"
126,Abilify (Page 6),"April 28, 2018"
127,Abilify (Page 6),"April 22, 2018"
128,Abilify (Page 6),"April 18, 2018"
129,Abilify (Page 6),"April 14, 2018"
130,Abilify (Page 6),"March 27, 2018"
131,Abilify (Page 6),"March 3, 2018"
132,Abilify (Page 6),"February 25, 2018"
133,Abilify (Page 6),"February 15, 2018"
134,Abilify (Page 6),"February 9, 2018"
135,Abilify (Page 6),"February 5, 2018"
136,Abilify (Page 6),"February 3, 2018"
137,Abilify (Page 6),"February 1, 2018"
138,Abilify (Page 6),"January 31, 2018"
139,Abilify (Page 6),"January 31, 2018"
140,Abilify (Page 6),"January 31, 2018"
141,Abilify (Page 6),"January 31, 2018"
142,Abilify (Page 6),"January 27, 2018"
143,Abilify (Page 6),"January 18, 2018"
144,Abilify (Page 6),"January 15, 2018"
145,Abilify (Page 6),"January 11, 2018"
146,Abilify (Page 6),"December 30, 2017"
147,Abilify (Page 6),"December 24, 2017"
148,Abilify (Page 6),"December 18, 2017"
149,Abilify (Page 6),"December 6, 2017"
150,Abilify (Page 7),"December 2, 2017"
151,Abilify (Page 7),"November 27, 2017"
152,Abilify (Page 7),"November 22, 2017"
153,Abilify (Page 7),"November 22, 2017"
154,Abilify (Page 7),"November 16, 2017"
155,Abilify (Page 7),"November 9, 2017"
156,Abilify (Page 7),"October 25, 2017"
157,Abilify (Page 7),"October 23, 2017"
158,Abilify (Page 7),"October 20, 2017"
159,Abilify (Page 7),"September 30, 2017"
160,Abilify (Page 7),"September 30, 2017"
161,Abilify (Page 7),"September 26, 2017"
162,Abilify (Page 7),"September 19, 2017"
163,Abilify (Page 7),"September 11, 2017"
164,Abilify (Page 7),"September 3, 2017"
165,Abilify (Page 7),"September 2, 2017"
166,Abilify (Page 7),"August 30, 2017"
167,Abilify (Page 7),"August 30, 2017"
168,Abilify (Page 7),"August 28, 2017"
169,Abilify (Page 7),"August 21, 2017"
170,Abilify (Page 7),"August 17, 2017"
171,Abilify (Page 7),"August 4, 2017"
172,Abilify (Page 7),"August 2, 2017"
173,Abilify (Page 7),"August 1, 2017"
174,Abilify (Page 7),"July 29, 2017"
175,Abilify (Page 8),"July 27, 2017"
176,Abilify (Page 8),"July 11, 2017"
177,Abilify (Page 8),"June 26, 2017"
178,Abilify (Page 8),"June 26, 2017"
179,Abilify (Page 8),"June 23, 2017"
180,Abilify (Page 8),"June 20, 2017"
181,Abilify (Page 8),"June 19, 2017"
182,Abilify (Page 8),"June 18, 2017"
183,Abilify (Page 8),"June 15, 2017"
184,Abilify (Page 8),"June 7, 2017"
185,Abilify (Page 8),"May 31, 2017"
186,Abilify (Page 8),"May 29, 2017"
187,Abilify (Page 8),"May 28, 2017"
188,Abilify (Page 8),"May 24, 2017"
189,Abilify (Page 8),"May 22, 2017"
190,Abilify (Page 8),"May 15, 2017"
191,Abilify (Page 8),"May 12, 2017"
192,Abilify (Page 8),"May 12, 2017"
193,Abilify (Page 8),"May 12, 2017"
194,Abilify (Page 8),"May 3, 2017"
195,Abilify (Page 8),"May 1, 2017"
196,Abilify (Page 8),"April 28, 2017"
197,Abilify (Page 8),"April 25, 2017"
198,Abilify (Page 8),"April 17, 2017"
199,Abilify (Page 8),"April 4, 2017"
200,Abilify (Page 9),"March 30, 2017"
201,Abilify (Page 9),"March 27, 2017"
202,Abilify (Page 9),"March 27, 2017"
203,Abilify (Page 9),"March 26, 2017"
204,Abilify (Page 9),"March 24, 2017"
205,Abilify (Page 9),"March 23, 2017"
206,Abilify (Page 9),"March 13, 2017"
207,Abilify (Page 9),"March 13, 2017"
208,Abilify (Page 9),"March 3, 2017"
209,Abilify (Page 9),"March 2, 2017"
210,Abilify (Page 9),"February 28, 2017"
211,Abilify (Page 9),"February 25, 2017"
212,Abilify (Page 9),"February 21, 2017"
213,Abilify (Page 9),"February 9, 2017"
214,Abilify (Page 9),"February 8, 2017"
215,Abilify (Page 9),"February 5, 2017"
216,Abilify (Page 9),"February 2, 2017"
217,Abilify (Page 9),"January 17, 2017"
218,Abilify (Page 9),"January 13, 2017"
219,Abilify (Page 9),"December 30, 2016"
220,Abilify (Page 9),"December 23, 2016"
221,Abilify (Page 9),"December 21, 2016"
222,Abilify (Page 9),"December 19, 2016"
223,Abilify (Page 9),"December 16, 2016"
224,Abilify (Page 9),"December 13, 2016"
225,Abilify (Page 10),"December 6, 2016"
226,Abilify (Page 10),"December 5, 2016"
227,Abilify (Page 10),"December 2, 2016"
228,Abilify (Page 10),"December 2, 2016"
229,Abilify (Page 10),"December 1, 2016"
230,Abilify (Page 10),"November 29, 2016"
231,Abilify (Page 10),"November 28, 2016"
232,Abilify (Page 10),"November 28, 2016"
233,Abilify (Page 10),"November 18, 2016"
234,Abilify (Page 10),"November 15, 2016"
235,Abilify (Page 10),"November 15, 2016"
236,Abilify (Page 10),"November 7, 2016"
237,Abilify (Page 10),"November 6, 2016"
238,Abilify (Page 10),"November 6, 2016"
239,Abilify (Page 10),"November 4, 2016"
240,Abilify (Page 10),"November 4, 2016"
241,Abilify (Page 10),"October 25, 2016"
242,Abilify (Page 10),"October 14, 2016"
243,Abilify (Page 10),"October 13, 2016"
244,Abilify (Page 10),"October 11, 2016"
245,Abilify (Page 10),"October 8, 2016"
246,Abilify (Page 10),"October 1, 2016"
247,Abilify (Page 10),"September 27, 2016"
248,Abilify (Page 10),"September 25, 2016"
249,Abilify (Page 10),"September 23, 2016"
250,Abilify (Page 11),"September 21, 2016"
251,Abilify (Page 11),"September 19, 2016"
252,Abilify (Page 11),"September 16, 2016"
253,Abilify (Page 11),"September 15, 2016"
254,Abilify (Page 11),"September 7, 2016"
255,Abilify (Page 11),"September 4, 2016"
256,Abilify (Page 11),"September 3, 2016"
257,Abilify (Page 11),"September 1, 2016"
258,Abilify (Page 11),"August 31, 2016"
259,Abilify (Page 11),"August 26, 2016"
260,Abilify (Page 11),"August 19, 2016"
261,Abilify (Page 11),"August 16, 2016"
262,Abilify (Page 11),"August 15, 2016"
263,Abilify (Page 11),"August 14, 2016"
264,Abilify (Page 11),"August 10, 2016"
265,Abilify (Page 11),"August 6, 2016"
266,Abilify (Page 11),"August 6, 2016"
267,Abilify (Page 11),"August 1, 2016"
268,Abilify (Page 11),"July 31, 2016"
269,Abilify (Page 11),"July 27, 2016"
270,Abilify (Page 11),"July 25, 2016"
271,Abilify (Page 11),"July 21, 2016"
272,Abilify (Page 11),"July 19, 2016"
273,Abilify (Page 11),"July 18, 2016"
274,Abilify (Page 11),"July 15, 2016"
275,Abilify (Page 12),"July 14, 2016"
276,Abilify (Page 12),"July 1, 2016"
277,Abilify (Page 12),"June 30, 2016"
278,Abilify (Page 12),"June 30, 2016"
279,Abilify (Page 12),"June 25, 2016"
280,Abilify (Page 12),"June 19, 2016"
281,Abilify (Page 12),"June 18, 2016"
282,Abilify (Page 12),"June 18, 2016"
283,Abilify (Page 12),"June 13, 2016"
284,Abilify (Page 12),"June 12, 2016"
285,Abilify (Page 12),"June 4, 2016"
286,Abilify (Page 12),"June 2, 2016"
287,Abilify (Page 12),"May 31, 2016"
288,Abilify (Page 12),"May 31, 2016"
289,Abilify (Page 12),"May 29, 2016"
290,Abilify (Page 12),"May 29, 2016"
291,Abilify (Page 12),"May 28, 2016"
292,Abilify (Page 12),"May 27, 2016"
293,Abilify (Page 12),"May 27, 2016"
294,Abilify (Page 12),"May 15, 2016"
295,Abilify (Page 12),"May 12, 2016"
296,Abilify (Page 12),"May 5, 2016"
297,Abilify (Page 12),"May 4, 2016"
298,Abilify (Page 12),"May 2, 2016"
299,Abilify (Page 12),"April 30, 2016"
300,Abilify (Page 13),"April 29, 2016"
301,Abilify (Page 13),"April 25, 2016"
302,Abilify (Page 13),"April 17, 2016"
303,Abilify (Page 13),"April 9, 2016"
304,Abilify (Page 13),"April 2, 2016"
305,Abilify (Page 13),"March 26, 2016"
306,Abilify (Page 13),"March 25, 2016"
307,Abilify (Page 13),"March 12, 2016"
308,Abilify (Page 13),"March 10, 2016"
309,Abilify (Page 13),"March 3, 2016"
310,Abilify (Page 13),"February 29, 2016"
311,Abilify (Page 13),"February 27, 2016"
312,Abilify (Page 13),"February 23, 2016"
313,Abilify (Page 13),"February 21, 2016"
314,Abilify (Page 13),"February 16, 2016"
315,Abilify (Page 13),"February 5, 2016"
316,Abilify (Page 13),"January 27, 2016"
317,Abilify (Page 13),"January 22, 2016"
318,Abilify (Page 13),"January 19, 2016"
319,Abilify (Page 13),"January 18, 2016"
320,Abilify (Page 13),"January 16, 2016"
321,Abilify (Page 13),"January 16, 2016"
322,Abilify (Page 13),"January 15, 2016"
323,Abilify (Page 13),"January 10, 2016"
324,Abilify (Page 13),"January 4, 2016"
325,Abilify (Page 14),"December 29, 2015"
326,Abilify (Page 14),"December 23, 2015"
327,Abilify (Page 14),"December 13, 2015"
328,Abilify (Page 14),"December 13, 2015"
329,Abilify (Page 14),"December 9, 2015"
330,Abilify (Page 14),"December 9, 2015"
331,Abilify (Page 14),"December 8, 2015"
332,Abilify (Page 14),"December 6, 2015"
333,Abilify (Page 14),"December 3, 2015"
334,Abilify (Page 14),"November 9, 2015"
335,Abilify (Page 14),"November 9, 2015"
336,Abilify (Page 14),"November 8, 2015"
337,Abilify (Page 14),"November 6, 2015"
338,Abilify (Page 14),"October 25, 2015"
339,Abilify (Page 14),"October 23, 2015"
340,Abilify (Page 14),"October 23, 2015"
341,Abilify (Page 14),"October 18, 2015"
342,Abilify (Page 14),"October 18, 2015"
343,Abilify (Page 14),"October 15, 2015"
344,Abilify (Page 14),"October 7, 2015"
345,Abilify (Page 14),"October 7, 2015"
346,Abilify (Page 14),"October 6, 2015"
347,Abilify (Page 14),"October 6, 2015"
348,Abilify (Page 14),"October 3, 2015"
349,Abilify (Page 14),"October 2, 2015"
350,Abilify (Page 15),"October 2, 2015"
351,Abilify (Page 15),"October 1, 2015"
352,Abilify (Page 15),"October 1, 2015"
353,Abilify (Page 15),"September 23, 2015"
354,Abilify (Page 15),"September 21, 2015"
355,Abilify (Page 15),"September 19, 2015"
356,Abilify (Page 15),"September 15, 2015"
357,Abilify (Page 15),"September 15, 2015"
358,Abilify (Page 15),"September 13, 2015"
359,Abilify (Page 15),"September 1, 2015"
360,Abilify (Page 15),"August 27, 2015"
361,Abilify (Page 15),"August 25, 2015"
362,Abilify (Page 15),"August 20, 2015"
363,Abilify (Page 15),"August 14, 2015"
364,Abilify (Page 15),"August 10, 2015"
365,Abilify (Page 15),"August 6, 2015"
366,Abilify (Page 15),"July 31, 2015"
367,Abilify (Page 15),"July 31, 2015"
368,Abilify (Page 15),"July 29, 2015"
369,Abilify (Page 15),"July 28, 2015"
370,Abilify (Page 15),"July 27, 2015"
371,Abilify (Page 15),"July 24, 2015"
372,Abilify (Page 15),"July 20, 2015"
373,Abilify (Page 15),"July 18, 2015"
374,Abilify (Page 15),"July 16, 2015"
375,Abilify (Page 16),"July 16, 2015"
376,Abilify (Page 16),"July 12, 2015"
377,Abilify (Page 16),"June 27, 2015"
378,Abilify (Page 16),"June 23, 2015"
379,Abilify (Page 16),"June 19, 2015"
380,Abilify (Page 16),"June 16, 2015"
381,Abilify (Page 16),"June 11, 2015"
382,Abilify (Page 16),"June 7, 2015"
383,Abilify (Page 16),"June 5, 2015"
384,Abilify (Page 16),"June 5, 2015"
385,Abilify (Page 16),"June 4, 2015"
386,Abilify (Page 16),"May 28, 2015"
387,Abilify (Page 16),"May 27, 2015"
388,Abilify (Page 16),"May 23, 2015"
389,Abilify (Page 16),"May 19, 2015"
390,Abilify (Page 16),"May 16, 2015"
391,Abilify (Page 16),"May 15, 2015"
392,Abilify (Page 16),"April 30, 2015"
393,Abilify (Page 16),"April 14, 2015"
394,Abilify (Page 16),"April 13, 2015"
395,Abilify (Page 16),"April 13, 2015"
396,Abilify (Page 16),"April 11, 2015"
397,Abilify (Page 16),"April 7, 2015"
398,Abilify (Page 16),"April 6, 2015"
399,Abilify (Page 16),"March 30, 2015"
400,Abilify (Page 17),"March 30, 2015"
401,Abilify (Page 17),"March 18, 2015"
402,Abilify (Page 17),"March 17, 2015"
403,Abilify (Page 17),"March 14, 2015"
404,Abilify (Page 17),"March 12, 2015"
405,Abilify (Page 17),"March 8, 2015"
406,Abilify (Page 17),"March 7, 2015"
407,Abilify (Page 17),"February 11, 2015"
408,Abilify (Page 17),"January 27, 2015"
409,Abilify (Page 17),"January 24, 2015"
410,Abilify (Page 17),"January 22, 2015"
411,Abilify (Page 17),"January 15, 2015"
412,Abilify (Page 17),"December 10, 2014"
413,Abilify (Page 17),"November 25, 2014"
414,Abilify (Page 17),"November 19, 2014"
415,Abilify (Page 17),"November 16, 2014"
416,Abilify (Page 17),"November 12, 2014"
417,Abilify (Page 17),"November 12, 2014"
418,Abilify (Page 17),"November 4, 2014"
419,Abilify (Page 17),"November 2, 2014"
420,Abilify (Page 17),"October 24, 2014"
421,Abilify (Page 17),"October 22, 2014"
422,Abilify (Page 17),"October 17, 2014"
423,Abilify (Page 17),"October 16, 2014"
424,Abilify (Page 17),"October 15, 2014"
425,Abilify (Page 18),"October 10, 2014"
426,Abilify (Page 18),"October 7, 2014"
427,Abilify (Page 18),"September 29, 2014"
428,Abilify (Page 18),"September 18, 2014"
429,Abilify (Page 18),"September 15, 2014"
430,Abilify (Page 18),"September 10, 2014"
431,Abilify (Page 18),"August 28, 2014"
432,Abilify (Page 18),"August 23, 2014"
433,Abilify (Page 18),"August 14, 2014"
434,Abilify (Page 18),"August 14, 2014"
435,Abilify (Page 18),"August 12, 2014"
436,Abilify (Page 18),"August 12, 2014"
437,Abilify (Page 18),"August 10, 2014"
438,Abilify (Page 18),"July 30, 2014"
439,Abilify (Page 18),"July 29, 2014"
440,Abilify (Page 18),"July 29, 2014"
441,Abilify (Page 18),"July 26, 2014"
442,Abilify (Page 18),"July 21, 2014"
443,Abilify (Page 18),"July 19, 2014"
444,Abilify (Page 18),"July 16, 2014"
445,Abilify (Page 18),"June 26, 2014"
446,Abilify (Page 18),"June 18, 2014"
447,Abilify (Page 18),"June 18, 2014"
448,Abilify (Page 18),"June 14, 2014"
449,Abilify (Page 18),"June 10, 2014"
450,Abilify (Page 19),"June 8, 2014"
451,Abilify (Page 19),"June 1, 2014"
452,Abilify (Page 19),"May 27, 2014"
453,Abilify (Page 19),"May 23, 2014"
454,Abilify (Page 19),"May 20, 2014"
455,Abilify (Page 19),"May 13, 2014"
456,Abilify (Page 19),"April 30, 2014"
457,Abilify (Page 19),"April 16, 2014"
458,Abilify (Page 19),"April 15, 2014"
459,Abilify (Page 19),"March 26, 2014"
460,Abilify (Page 19),"March 21, 2014"
461,Abilify (Page 19),"March 17, 2014"
462,Abilify (Page 19),"March 4, 2014"
463,Abilify (Page 19),"February 28, 2014"
464,Abilify (Page 19),"February 25, 2014"
465,Abilify (Page 19),"February 21, 2014"
466,Abilify (Page 19),"February 19, 2014"
467,Abilify (Page 19),"February 7, 2014"
468,Abilify (Page 19),"January 19, 2014"
469,Abilify (Page 19),"January 10, 2014"
470,Abilify (Page 19),"January 8, 2014"
471,Abilify (Page 19),"December 27, 2013"
472,Abilify (Page 19),"December 23, 2013"
473,Abilify (Page 19),"December 7, 2013"
474,Abilify (Page 19),"December 6, 2013"
475,Abilify (Page 20),"November 18, 2013"
476,Abilify (Page 20),"November 17, 2013"
477,Abilify (Page 20),"November 15, 2013"
478,Abilify (Page 20),"November 12, 2013"
479,Abilify (Page 20),"November 6, 2013"
480,Abilify (Page 20),"November 5, 2013"
481,Abilify (Page 20),"October 29, 2013"
482,Abilify (Page 20),"October 24, 2013"
483,Abilify (Page 20),"October 23, 2013"
484,Abilify (Page 20),"October 10, 2013"
485,Abilify (Page 20),"September 20, 2013"
486,Abilify (Page 20),"September 7, 2013"
487,Abilify (Page 20),"September 2, 2013"
488,Abilify (Page 20),"August 28, 2013"
489,Abilify (Page 20),"August 25, 2013"
490,Abilify (Page 20),"August 23, 2013"
491,Abilify (Page 20),"August 22, 2013"
492,Abilify (Page 20),"August 20, 2013"
493,Abilify (Page 20),"August 13, 2013"
494,Abilify (Page 20),"August 8, 2013"
495,Abilify (Page 20),"August 4, 2013"
496,Abilify (Page 20),"July 27, 2013"
497,Abilify (Page 20),"July 24, 2013"
498,Abilify (Page 20),"July 22, 2013"
499,Abilify (Page 20),"July 19, 2013"
500,Abilify (Page 21),"July 11, 2013"
501,Abilify (Page 21),"July 11, 2013"
502,Abilify (Page 21),"July 8, 2013"
503,Abilify (Page 21),"July 4, 2013"
504,Abilify (Page 21),"July 3, 2013"
505,Abilify (Page 21),"June 30, 2013"
506,Abilify (Page 21),"June 25, 2013"
507,Abilify (Page 21),"June 23, 2013"
508,Abilify (Page 21),"June 17, 2013"
509,Abilify (Page 21),"June 17, 2013"
510,Abilify (Page 21),"June 12, 2013"
511,Abilify (Page 21),"June 8, 2013"
512,Abilify (Page 21),"June 7, 2013"
513,Abilify (Page 21),"May 30, 2013"
514,Abilify (Page 21),"May 29, 2013"
515,Abilify (Page 21),"May 28, 2013"
516,Abilify (Page 21),"May 26, 2013"
517,Abilify (Page 21),"May 24, 2013"
518,Abilify (Page 21),"May 20, 2013"
519,Abilify (Page 21),"April 30, 2013"
520,Abilify (Page 21),"April 25, 2013"
521,Abilify (Page 21),"April 22, 2013"
522,Abilify (Page 21),"April 22, 2013"
523,Abilify (Page 21),"April 10, 2013"
524,Abilify (Page 21),"April 5, 2013"
525,Abilify (Page 22),"March 28, 2013"
526,Abilify (Page 22),"March 4, 2013"
527,Abilify (Page 22),"February 24, 2013"
528,Abilify (Page 22),"February 19, 2013"
529,Abilify (Page 22),"February 14, 2013"
530,Abilify (Page 22),"February 7, 2013"
531,Abilify (Page 22),"February 5, 2013"
532,Abilify (Page 22),"February 4, 2013"
533,Abilify (Page 22),"January 27, 2013"
534,Abilify (Page 22),"January 19, 2013"
535,Abilify (Page 22),"January 19, 2013"
536,Abilify (Page 22),"January 5, 2013"
537,Abilify (Page 22),"December 13, 2012"
538,Abilify (Page 22),"November 20, 2012"
539,Abilify (Page 22),"November 14, 2012"
540,Abilify (Page 22),"November 8, 2012"
541,Abilify (Page 22),"November 6, 2012"
542,Abilify (Page 22),"October 22, 2012"
543,Abilify (Page 22),"October 22, 2012"
544,Abilify (Page 22),"October 12, 2012"
545,Abilify (Page 22),"October 6, 2012"
546,Abilify (Page 22),"October 1, 2012"
547,Abilify (Page 22),"September 27, 2012"
548,Abilify (Page 22),"September 27, 2012"
549,Abilify (Page 22),"September 21, 2012"
550,Abilify (Page 23),"September 11, 2012"
551,Abilify (Page 23),"September 8, 2012"
552,Abilify (Page 23),"August 29, 2012"
553,Abilify (Page 23),"August 21, 2012"
554,Abilify (Page 23),"August 19, 2012"
555,Abilify (Page 23),"August 17, 2012"
556,Abilify (Page 23),"August 5, 2012"
557,Abilify (Page 23),"July 28, 2012"
558,Abilify (Page 23),"July 18, 2012"
559,Abilify (Page 23),"July 17, 2012"
560,Abilify (Page 23),"July 16, 2012"
561,Abilify (Page 23),"July 16, 2012"
562,Abilify (Page 23),"July 12, 2012"
563,Abilify (Page 23),"July 11, 2012"
564,Abilify (Page 23),"July 4, 2012"
565,Abilify (Page 23),"July 3, 2012"
566,Abilify (Page 23),"June 22, 2012"
567,Abilify (Page 23),"June 22, 2012"
568,Abilify (Page 23),"June 19, 2012"
569,Abilify (Page 23),"May 10, 2012"
570,Abilify (Page 23),"May 8, 2012"
571,Abilify (Page 23),"May 7, 2012"
572,Abilify (Page 23),"May 4, 2012"
573,Abilify (Page 23),"May 4, 2012"
574,Abilify (Page 23),"April 30, 2012"
575,Abilify (Page 24),"April 28, 2012"
576,Abilify (Page 24),"April 15, 2012"
577,Abilify (Page 24),"April 14, 2012"
578,Abilify (Page 24),"April 4, 2012"
579,Abilify (Page 24),"March 26, 2012"
580,Abilify (Page 24),"March 10, 2012"
581,Abilify (Page 24),"March 4, 2012"
582,Abilify (Page 24),"February 29, 2012"
583,Abilify (Page 24),"February 23, 2012"
584,Abilify (Page 24),"February 22, 2012"
585,Abilify (Page 24),"February 11, 2012"
586,Abilify (Page 24),"February 1, 2012"
587,Abilify (Page 24),"January 27, 2012"
588,Abilify (Page 24),"January 20, 2012"
589,Abilify (Page 24),"January 19, 2012"
590,Abilify (Page 24),"January 18, 2012"
591,Abilify (Page 24),"January 18, 2012"
592,Abilify (Page 24),"January 15, 2012"
593,Abilify (Page 24),"January 14, 2012"
594,Abilify (Page 24),"January 4, 2012"
595,Abilify (Page 24),"December 28, 2011"
596,Abilify (Page 24),"December 26, 2011"
597,Abilify (Page 24),"December 22, 2011"
598,Abilify (Page 24),"December 20, 2011"
599,Abilify (Page 24),"December 20, 2011"
600,Abilify (Page 25),"December 9, 2011"
601,Abilify (Page 25),"December 3, 2011"
602,Abilify (Page 25),"November 28, 2011"
603,Abilify (Page 25),"November 14, 2011"
604,Abilify (Page 25),"November 10, 2011"
605,Abilify (Page 25),"November 8, 2011"
606,Abilify (Page 25),"November 2, 2011"
607,Abilify (Page 25),"October 26, 2011"
608,Abilify (Page 25),"October 26, 2011"
609,Abilify (Page 25),"October 25, 2011"
610,Abilify (Page 25),"October 21, 2011"
611,Abilify (Page 25),"October 20, 2011"
612,Abilify (Page 25),"October 7, 2011"
613,Abilify (Page 25),"October 4, 2011"
614,Abilify (Page 25),"September 16, 2011"
615,Abilify (Page 25),"September 9, 2011"
616,Abilify (Page 25),"August 27, 2011"
617,Abilify (Page 25),"August 26, 2011"
618,Abilify (Page 25),"August 24, 2011"
619,Abilify (Page 25),"August 11, 2011"
620,Abilify (Page 25),"August 4, 2011"
621,Abilify (Page 25),"July 26, 2011"
622,Abilify (Page 25),"July 21, 2011"
623,Abilify (Page 25),"July 17, 2011"
624,Abilify (Page 25),"July 13, 2011"
625,Abilify (Page 26),"June 17, 2011"
626,Abilify (Page 26),"May 20, 2011"
627,Abilify (Page 26),"May 15, 2011"
628,Abilify (Page 26),"May 5, 2011"
629,Abilify (Page 26),"April 30, 2011"
630,Abilify (Page 26),"April 27, 2011"
631,Abilify (Page 26),"April 20, 2011"
632,Abilify (Page 26),"April 12, 2011"
633,Abilify (Page 26),"March 28, 2011"
634,Abilify (Page 26),"March 14, 2011"
635,Abilify (Page 26),"March 12, 2011"
636,Abilify (Page 26),"March 10, 2011"
637,Abilify (Page 26),"February 13, 2011"
638,Abilify (Page 26),"February 13, 2011"
639,Abilify (Page 26),"February 6, 2011"
640,Abilify (Page 26),"January 23, 2011"
